name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Time in status | SLA | Timer | Stopwatch,"Shows time in selected statuses. Configure calculate time in status, timers, work calendars, JQL functions. Suitable for SLA","Custom fields, Time tracking, Utilities, Workflow",JiBrok,,4,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1220908/time-in-status-sla-timer-stopwatch?hosting=datacenter&tab=overview,,,$10,$100,$300,$700,"$1,500"
Jira Calendar Plugin,The Jira Calendar Plugin shows issues and versions in a calendar format based on their due date,"Dashboard gadgets, Time tracking",Atlassian,,110,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/293/jira-calendar-plugin?hosting=server&tab=overview,,,,,,,
Hide Time Tracking for Jira Server,Hide time tracking information from external users,Time tracking,Gebsun,,17,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1212049/hide-time-tracking-for-jira-server?hosting=datacenter&tab=overview,,,$10,$50,$100,$200,$400
Time in Status for Jira Cloud,Generate time reports for Jira issues,"IT & helpdesk, Monitoring, Reports, Time tracking",SaaSJet,509,18,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219732/time-in-status-for-jira-cloud?hosting=cloud&tab=overview,$3.5,$1.15,,,,,
Worklogs Report,Smart tracking of logged hours and worklog comments,"Reports, Time tracking",Colined,393,9,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1216516/worklogs-report?hosting=cloud&tab=overview,$5,$1.2,$10,$30,$65,$125,$250
Performance Objectives: Charts & Reports,"Clear KPI, SLA and OKR reporting. Objective recognition of personal and team goals. Chart and pivot time tracking","Charts & diagramming, Dashboard gadgets, Reports",Nara Syst Ltd.,247,21,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218655/performance-objectives-charts-reports?hosting=cloud&tab=overview,$3,$1,$10,$300,$500,"$1,000","$1,500"
Relative Time Converter,Relative or explicit time? This converter allows you to display both values in the same time,Time tracking,"MoroSystems, s.r.o.",287,9,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1215652/relative-time-converter?hosting=server&tab=overview,,,,,,,
Sprint Capacity Planning & Tracking,Plan your team and resources commitment for your sprint workload right in your agile scrum board,"Charts & diagramming, Project management, Tasks",Add-On Experts Center,355,12,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1217495/sprint-capacity-planning-tracking?hosting=cloud&tab=overview,$10,$2,$10,$150,$380,"$1,200","$2,500"
Simple Timesheet & Worklog Gadget,"Gain visibility into your time tracking with a dashboard gadget. View timesheets with hours logged by users, projects and more","Dashboard gadgets, Project management, Reports",Agilis LT,252,10,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219487/simple-timesheet-worklog-gadget?hosting=cloud&tab=overview,$1,$0.5,$10,$80,$150,$250,$500
Tracking & Estimation for Jira,Project Management Plugin with Role Based Time Tracking & Estimation Reports Aiding Over 66% Improved Working Efficiency,"Monitoring, Project management, Time tracking",ADWEB Software,269,24,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1213605/tracking-estimation-for-jira?hosting=cloud&tab=overview,$10,$1,$50,$220,$450,$880,"$1,500"
